STATION,STATION_NAME,DATE,PRCP,SNWD,TMAX,TMIN
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150509,0,-9999,-9999,20
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150510,46,-9999,-9999,74
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150511,0,-9999,203,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150512,-9999,-9999,-9999,87
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150513,8,-9999,127,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150514,-9999,-9999,169,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150515,-9999,-9999,162,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150516,0,-9999,-9999,74
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150517,-9999,-9999,127,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150518,10,-9999,134,54
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150519,56,-9999,142,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150520,41,-9999,139,59
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150521,3,-9999,143,51
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150522,0,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150523,25,-9999,138,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150524,0,-9999,155,69
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150525,13,-9999,136,80
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150526,25,-9999,146,85
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150527,0,-9999,141,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150528,3,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150529,33,-9999,-9999,67
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150530,0,-9999,139,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150531,8,-9999,162,87
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150601,66,-9999,145,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150602,0,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150603,104,-9999,143,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150604,0,-9999,162,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150605,0,-9999,193,56
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150606,28,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150607,0,-9999,163,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150608,0,-9999,171,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150609,0,-9999,-9999,58
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150610,0,-9999,164,88
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150611,0,-9999,189,109
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150612,0,-9999,214,92
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150613,0,-9999,-9999,99
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150614,51,-9999,142,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150615,0,-9999,146,86
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150616,0,-9999,160,77
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150617,-9999,-9999,142,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150618,-9999,-9999,151,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150619,3,-9999,175,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150620,0,-9999,-9999,102
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150621,0,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150622,-9999,-9999,153,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150624,-9999,-9999,140,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150625,-9999,-9999,156,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150626,0,-9999,184,87
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150627,5,-9999,188,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150628,5,-9999,193,129
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150629,58,-9999,207,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150630,0,-9999,198,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150701,0,-9999,243,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150702,0,-9999,-9999,143
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150703,0,-9999,262,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150704,0,-9999,271,133
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150705,3,-9999,235,155
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150706,0,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150707,0,-9999,223,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150708,18,-9999,185,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150709,0,-9999,176,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150710,13,-9999,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150711,0,-9999,192,96
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150712,13,-9999,205,139
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150713,0,-9999,191,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150714,0,-9999,190,128
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150715,0,-9999,186,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150716,0,-9999,181,108
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150717,-9999,-9999,191,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150718,0,-9999,203,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150719,0,-9999,202,119
GHCND:DAM00006030,FLYVESTATION AALBORG DA,20150720,51,-9999,185,-9999
